auction_player,auction_league,population_id,auction_year,fk_name,fk_url,fk_count,fk_category,Auth,1,1.5,2,3,4,5,6,7,8,9,10,Total
Jim King,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '        12', '+': '0', 'Q': '0'}","{'Grade': '        50', '+': '         1', 'Q': '         1'}","{'Grade': '        22', '+': '-', 'Q': '0'}","{'Grade': '         2', '+': '-', 'Q': '-'}","{'Grade': '90', '+': '1', 'Q': '1'}"
Cazzie Russell,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '        24', '+': '0', 'Q': '         1'}","{'Grade': '        58', '+': '         3', 'Q': '         1'}","{'Grade': '        14', '+': '-', 'Q': '         2'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '103', '+': '3', 'Q': '4'}"
Jon McGlocklin,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '        17', '+': '0', 'Q': '0'}","{'Grade': '        68', '+': '         3', 'Q': '         5'}","{'Grade': '        39', '+': '-', 'Q': '         5'}","{'Grade': '         1', '+': '-', 'Q': '-'}","{'Grade': '127', '+': '3', 'Q': '10'}"
Tom Van Arsdale,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         5', '+': '         1', 'Q': '0'}","{'Grade': '        28', '+': '         1', 'Q': '         1'}","{'Grade': '        73', '+': '0', 'Q': '         3'}","{'Grade': '        16', '+': '-', 'Q': '         7'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '123', '+': '2', 'Q': '11'}"
Dale Schlueter,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         6', '+': '0', 'Q': '0'}","{'Grade': '        14', '+': '0', 'Q': '         1'}","{'Grade': '        49', '+': '         2', 'Q': '         2'}","{'Grade': '        11', '+': '-', 'Q': '         2'}","{'Grade': '         1', '+': '-', 'Q': '-'}","{'Grade': '84', '+': '2', 'Q': '5'}"
Gus Johnson,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         6', '+': '         1', 'Q': '0'}","{'Grade': '        10', '+': '0', 'Q': '         1'}","{'Grade': '        20', '+': '0', 'Q': '0'}","{'Grade': '       122', '+': '         6', 'Q': '         1'}","{'Grade': '        60', '+': '-', 'Q': '         5'}","{'Grade': '        10', '+': '-', 'Q': '-'}","{'Grade': '231', '+': '7', 'Q': '7'}"
Dave Bing,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '        12', '+': '         1', 'Q': '0'}","{'Grade': '        21', '+': '0', 'Q': '         1'}","{'Grade': '        78', '+': '         1', 'Q': '         1'}","{'Grade': '        66', '+': '0', 'Q': '        14'}","{'Grade': '        20', '+': '-', 'Q': '        10'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '202', '+': '2', 'Q': '26'}"
Billy Cunningham,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         9', '+': '0', 'Q': '0'}","{'Grade': '        15', '+': '0', 'Q': '0'}","{'Grade': '        43', '+': '         1', 'Q': '         1'}","{'Grade': '       185', '+': '         2', 'Q': '         7'}","{'Grade': '        55', '+': '-', 'Q': '         3'}","{'Grade': '         2', '+': '-', 'Q': '-'}","{'Grade': '311', '+': '3', 'Q': '11'}"
Len Wilkens,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '         1', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '         1', 'Q': '0'}","{'Grade': '         5', '+': '0', 'Q': '0'}","{'Grade': '        21', '+': '         1', 'Q': '0'}","{'Grade': '        72', '+': '         1', 'Q': '0'}","{'Grade': '        95', '+': '0', 'Q': '         4'}","{'Grade': '        22', '+': '-', 'Q': '         2'}","{'Grade': '         1', '+': '-', 'Q': '-'}","{'Grade': '219', '+': '3', 'Q': '6'}"
Jerry Lucas,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         6', '+': '         1', 'Q': '0'}","{'Grade': '        21', '+': '         2', 'Q': '0'}","{'Grade': '        45', '+': '         1', 'Q': '         2'}","{'Grade': '       260', '+': '         6', 'Q': '         6'}","{'Grade': '       162', '+': '-', 'Q': '         7'}","{'Grade': '         8', '+': '-', 'Q': '-'}","{'Grade': '505', '+': '10', 'Q': '15'}"
