name,url,count,category
1994 Skybox USA Basketball Shaquille O'Neal #72 ,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shaquille-oneal/summary/307022,1,basketball_cards
1994 Skybox USA Basketball Reggie Miller #75 ,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/reggie-miller/summary/830376,1,basketball_cards
1994 Skybox USA Basketball Reggie Miller #77 ,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/reggie-miller/summary/831018,1,basketball_cards
1994 Skybox USA Basketball Team Card #83 ,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/team-card/summary/307024,2,basketball_cards
1994 Skybox USA Basketball Magic Johnson #87 ,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/magic-johnson/summary/307025,3,basketball_cards
1994 Skybox USA Basketball Dream Play Shaquille O'Neal #DP12  ,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball-dream-play/shaquille-oneal/summary/450238,2,basketball_cards
1994 Skybox USA Basketball Dream Play Reggie Miller #DP13 ,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball-dream-play/reggie-miller/summary/2625836,1,basketball_cards
1994 Skybox USA Basketball Portraits Mark Price #PT4 USA Portraits,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball-portraits/mark-price/summary/307590,1,basketball_cards
1994 Upper Deck USA Basketball Shaquille O'Neal #49 ,https://www.psacard.com/auctionprices/basketball-cards/1994-upper-deck-usa-basketball/shaquille-oneal/summary/825363,1,basketball_cards
1994 Upper Deck USA Basketball Shaquille O'Neal #50 ,https://www.psacard.com/auctionprices/basketball-cards/1994-upper-deck-usa-basketball/shaquille-oneal/summary/360961,4,basketball_cards
1994 Upper Deck USA Basketball Shaquille O'Neal #51 ,https://www.psacard.com/auctionprices/basketball-cards/1994-upper-deck-usa-basketball/shaquille-oneal/summary/360963,2,basketball_cards
1994 Upper Deck USA Basketball Shaquille O'Neal #52 ,https://www.psacard.com/auctionprices/basketball-cards/1994-upper-deck-usa-basketball/shaquille-oneal/summary/360964,2,basketball_cards
1994 Upper Deck USA Basketball Shaquille O'Neal #53 ,https://www.psacard.com/auctionprices/basketball-cards/1994-upper-deck-usa-basketball/shaquille-oneal/summary/847486,2,basketball_cards
1994 Upper Deck USA Basketball Shaquille O'Neal #53 Gold Medal,https://www.psacard.com/auctionprices/basketball-cards/1994-upper-deck-usa-basketball/shaquille-oneal/summary/360966,2,basketball_cards
1994 Upper Deck USA Basketball Shaquille O'Neal #54 ,https://www.psacard.com/auctionprices/basketball-cards/1994-upper-deck-usa-basketball/shaquille-oneal/summary/360967,1,basketball_cards
1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,1,basketball_cards
